"_, just for a second.  Just to see how it feels.",1
_: Ain't nobody got time for that!,1
_: I volunteer as tribute!,1
_: Provided by the management for your protection.,1
_: Your ideas are intriguing to me and I wish to subscribe to your newsletter.,1
"Before I got laid off, I never pictured a career in _.",1
"Good news, everyone! I'm giving a TED Talk on the subject of how _ will transform _.",Pick 2
How did I get through college?,1
How did I spend my inheritance?,Pick 2
"I do declare, in times of distress I have always relied on _.",1
I do wish the newspapers hadn't mentioned _ in grandpa's obituary.,1
"I have this recurring dream where I'm _, and I'm giving _ to _.","Draw 2, Pick 3"
I've designed a spaceship powered by the energy released when you combine _ and _.,Pick 2
"In Valhalla, it is said that all brave warriors are given _.",1
"Old Willy used to be just like you or me, before _ got ahold of him.",1
"Rumor is, Kim Jong-un is executing prisoners with _.",1
"The night before a blizzard, always stock up on _ and _.",Pick 2
This bottle of 1961 Château Cheval Blanc has notes of _ and _.,Pick 2
"This film has been rated ""NC-17"" for graphic depictions of _ and _.",Pick 2
"Topping this week's non-fiction best-sellers: ""_ : the art of living with _.""",Pick 2
Utah is considering the legalization of _.,1
What do I have rotting away in a storage unit?,"Draw 2, Pick 3"
What do I have rotting away in a storage unit?,Pick 2
What made me this way?,1
What really gave Superman his powers?,1
What should I be for Halloween?,1
What will they carve on my tombstone?,1
What's this town's best-kept secret?,1
"While officially still frowned on, _ is now permitted in the U.S. armed forces.",1
"While officially still frowned on, _ is now permitted in the US armed forces.",1
Who will be first against the wall when the revolution comes?,1
"Who's got _, _, and two thumbs?  This guy!",Pick 2
Who's really to blame?,1
"Yes, it is I, the world's most dangerous supervillain: Baron Von _!",1
